05AD,0596,֭,֖,HEBREW ACCENT DEHI,BREW ACCENT TIPEHA
336C,0032 004F 70B9,㍬,2O点,IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TWENTY,GIT TWO, LATIN CAPITAL LETTER O, CJK UNIFIED IDEOGRAPH-70B9
0DE9,0DE8 0DCF,෩,෨ා,SINHALA LITH DIGIT THREE,NHALA LITH DIGIT TWO, SINHALA VOWEL SIGN AELA-PILLA
0DEF,0DE8 0DD3,෯,෨ී,SINHALA LITH DIGIT NINE,NHALA LITH DIGIT TWO, SINHALA VOWEL SIGN DIGA IS-PILLA
33E1,0032 65E5,㏡,2日,IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWO,GIT TWO, CJK UNIFIED IDEOGRAPH-65E5
32C1,0032 6708,㋁,2月,IDEOGRAPHIC TELEGRAPH SYMBOL FOR FEBRUARY,GIT TWO, CJK UNIFIED IDEOGRAPH-6708
335A,0032 70B9,㍚,2点,IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TWO,GIT TWO, CJK UNIFIED IDEOGRAPH-70B9
1D206,0033,𝈆,3,GREEK VOCAL NOTATION SYMBOL-7,GIT THREE
1D7D1,0033,𝟑,3,MATHEMATICAL BOLD DIGIT THREE,GIT THREE
1D7DB,0033,𝟛,3,MATHEMATICAL DOUBLE-STRUCK DIGIT THREE,GIT THREE
1D7E5,0033,𝟥,3,MATHEMATICAL SANS-SERIF DIGIT THREE,GIT THREE
1D7EF,0033,𝟯,3,MATHEMATICAL SANS-SERIF BOLD DIGIT THREE,GIT THREE
1D7F9,0033,𝟹,3,MATHEMATICAL MONOSPACE DIGIT THREE,GIT THREE
1FBF3,0033,🯳,3,SEGMENTED DIGIT THREE,GIT THREE
A7AB,0033,Ɜ,3,LATIN CAPITAL LETTER REVERSED OPEN E,GIT THREE
021C,0033,Ȝ,3,LATIN CAPITAL LETTER YOGH,GIT THREE
01B7,0033,Ʒ,3,LATIN CAPITAL LETTER EZH,GIT THREE
A76A,0033,Ꝫ,3,LATIN CAPITAL LETTER ET,GIT THREE
2CCC,0033,Ⳍ,3,COPTIC CAPITAL LETTER OLD COPTIC HORI,GIT THREE
0417,0033,З,3,CYRILLIC CAPITAL LETTER ZE,GIT THREE
04E0,0033,Ӡ,3,CYRILLIC CAPITAL LETTER ABKHASIAN DZE,GIT THREE
16F3B,0033,𖼻,3,MIAO LETTER ZA,GIT THREE
118CA,0033,𑣊,3,WARANG CITI SMALL LETTER ANG,GIT THREE
06F3,0663,۳,‎٣‎,EXTENDED ARABIC-INDIC DIGIT THREE,ABIC-INDIC DIGIT THREE
1E8C9,0663,‎𞣉‎,‎٣‎,MENDE KIKAKUI DIGIT THREE,ABIC-INDIC DIGIT THREE
0AE9,0969,૩,३,GUJARATI DIGIT THREE,VANAGARI DIGIT THREE
2462,2782,③,➂,CIRCLED DIGIT THREE,NGBAT CIRCLED SANS-SERIF DIGIT THREE
0498,0033 0326,Ҙ,3̦,CYRILLIC CAPITAL LETTER ZE WITH DESCENDER,GIT THREE, COMBINING COMMA BELOW
1F104,0033 002C,🄄,3,,DIGIT THREE COMMA,GIT THREE, COMMA
248A,0033 002E,⒊,3.,DIGIT THREE FULL STOP,GIT THREE, FULL STOP
33FE,0033 006C 65E5,㏾,3l日,IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY THIRTY-ONE,GIT THREE, LATIN SMALL LETTER L, CJK UNIFIED IDEOGRAPH-65E5
33FD,0033 004F 65E5,㏽,3O日,IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY THIRTY,GIT THREE, LATIN CAPITAL LETTER O, CJK UNIFIED IDEOGRAPH-65E5
33E2,0033 65E5,㏢,3日,IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY THREE,GIT THREE, CJK UNIFIED IDEOGRAPH-65E5
32C2,0033 6708,㋂,3月,IDEOGRAPHIC TELEGRAPH SYMBOL FOR MARCH,GIT THREE, CJK UNIFIED IDEOGRAPH-6708
335B,0033 70B9,㍛,3点,IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR THREE,GIT THREE, CJK UNIFIED IDEOGRAPH-70B9
1D7D2,0034,𝟒,4,MATHEMATICAL BOLD DIGIT FOUR,GIT FOUR
1D7DC,0034,𝟜,4,MATHEMATICAL DOUBLE-STRUCK DIGIT FOUR,GIT FOUR
1D7E6,0034,𝟦,4,MATHEMATICAL SANS-SERIF DIGIT FOUR,GIT FOUR
1D7F0,0034,𝟰,4,MATHEMATICAL SANS-SERIF BOLD DIGIT FOUR,GIT FOUR
1D7FA,0034,𝟺,4,MATHEMATICAL MONOSPACE DIGIT FOUR,GIT FOUR
1FBF4,0034,🯴,4,SEGMENTED DIGIT FOUR,GIT FOUR
13CE,0034,Ꮞ,4,CHEROKEE LETTER SE,GIT FOUR
118AF,0034,𑢯,4,WARANG CITI CAPITAL LETTER UC,GIT FOUR
06F4,0664,۴,‎٤‎,EXTENDED ARABIC-INDIC DIGIT FOUR,ABIC-INDIC DIGIT FOUR
0AEA,096A,૪,४,GUJARATI DIGIT FOUR,VANAGARI DIGIT FOUR
2463,2783,④,➃,CIRCLED DIGIT FOUR,NGBAT CIRCLED SANS-SERIF DIGIT FOUR
1F105,0034 002C,🄅,4,,DIGIT FOUR COMMA,GIT FOUR, COMMA
248B,0034 002E,⒋,4.,DIGIT FOUR FULL STOP,GIT FOUR, FULL STOP
1530,0034 00B7,ᔰ,4·,CANADIAN SYLLABICS WEST-CREE YWE,GIT FOUR, MIDDLE DOT
33E3,0034 65E5,㏣,4日,IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY FOUR,GIT FOUR, CJK UNIFIED IDEOGRAPH-65E5
32C3,0034 6708,㋃,4月,IDEOGRAPHIC TELEGRAPH SYMBOL FOR APRIL,GIT FOUR, CJK UNIFIED IDEOGRAPH-6708
335C,0034 70B9,㍜,4点,IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR FOUR,GIT FOUR, CJK UNIFIED IDEOGRAPH-70B9
1D7D3,0035,𝟓,5,MATHEMATICAL BOLD DIGIT FIVE,GIT FIVE
1D7DD,0035,𝟝,5,MATHEMATICAL DOUBLE-STRUCK DIGIT FIVE,GIT FIVE
1D7E7,0035,𝟧,5,MATHEMATICAL SANS-SERIF DIGIT FIVE,GIT FIVE
1D7F1,0035,𝟱,5,MATHEMATICAL SANS-SERIF BOLD DIGIT FIVE,GIT FIVE
1D7FB,0035,𝟻,5,MATHEMATICAL MONOSPACE DIGIT FIVE,GIT FIVE
1FBF5,0035,🯵,5,SEGMENTED DIGIT FIVE,GIT FIVE
01BC,0035,Ƽ,5,LATIN CAPITAL LETTER TONE FIVE,GIT FIVE
118BB,0035,𑢻,5,WARANG CITI CAPITAL LETTER HORR,GIT FIVE
2464,2784,⑤,➄,CIRCLED DIGIT FIVE,NGBAT CIRCLED SANS-SERIF DIGIT FIVE
1F106,0035 002C,🄆,5,,DIGIT FIVE COMMA,GIT FIVE, COMMA
248C,0035 002E,⒌,5.,DIGIT FIVE FULL STOP,GIT FIVE, FULL STOP
33E4,0035 65E5,㏤,5日,IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY FIVE,GIT FIVE, CJK UNIFIED IDEOGRAPH-65E5
32C4,0035 6708,㋄,5月,IDEOGRAPHIC TELEGRAPH SYMBOL FOR MAY,GIT FIVE, CJK UNIFIED IDEOGRAPH-6708
335D,0035 70B9,㍝,5点,IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR FIVE,GIT FIVE, CJK UNIFIED IDEOGRAPH-70B9
1D7D4,0036,𝟔,6,MATHEMATICAL BOLD DIGIT SIX,GIT SIX
1D7DE,0036,𝟞,6,MATHEMATICAL DOUBLE-STRUCK DIGIT SIX,GIT SIX
1D7E8,0036,𝟨,6,MATHEMATICAL SANS-SERIF DIGIT SIX,GIT SIX
1D7F2,0036,𝟲,6,MATHEMATICAL SANS-SERIF BOLD DIGIT SIX,GIT SIX
1D7FC,0036,𝟼,6,MATHEMATICAL MONOSPACE DIGIT SIX,GIT SIX
1FBF6,0036,🯶,6,SEGMENTED DIGIT SIX,GIT SIX
2CD2,0036,Ⳓ,6,COPTIC CAPITAL LETTER OLD COPTIC HEI,GIT SIX
0431,0036,б,6,CYRILLIC SMALL LETTER BE,GIT SIX
13EE,0036,Ꮾ,6,CHEROKEE LETTER WV,GIT SIX
118D5,0036,𑣕,6,WARANG CITI SMALL LETTER AT,GIT SIX
06F6,0666,۶,‎٦‎,EXTENDED ARABIC-INDIC DIGIT SIX,ABIC-INDIC DIGIT SIX
114D6,09EC,𑓖,৬,TIRHUTA DIGIT SIX,NGALI DIGIT SIX
2465,2785,⑥,➅,CIRCLED DIGIT SIX,NGBAT CIRCLED SANS-SERIF DIGIT SIX
1F107,0036 002C,🄇,6,,DIGIT SIX COMMA,GIT SIX, COMMA
248D,0036 002E,⒍,6.,DIGIT SIX FULL STOP,GIT SIX, FULL STOP
33E5,0036 65E5,㏥,6日,IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY SIX,GIT SIX, CJK UNIFIED IDEOGRAPH-65E5
32C5,0036 6708,㋅,6月,IDEOGRAPHIC TELEGRAPH SYMBOL FOR JUNE,GIT SIX, CJK UNIFIED IDEOGRAPH-6708
335E,0036 70B9,㍞,6点,IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR SIX,GIT SIX, CJK UNIFIED IDEOGRAPH-70B9
1D212,0037,𝈒,7,GREEK VOCAL NOTATION SYMBOL-19,GIT SEVEN
1D7D5,0037,𝟕,7,MATHEMATICAL BOLD DIGIT SEVEN,GIT SEVEN
1D7DF,0037,𝟟,7,MATHEMATICAL DOUBLE-STRUCK DIGIT SEVEN,GIT SEVEN
1D7E9,0037,𝟩,7,MATHEMATICAL SANS-SERIF DIGIT SEVEN,GIT SEVEN
1D7F3,0037,𝟳,7,MATHEMATICAL SANS-SERIF BOLD DIGIT SEVEN,GIT SEVEN
1D7FD,0037,𝟽,7,MATHEMATICAL MONOSPACE DIGIT SEVEN,GIT SEVEN
1FBF7,0037,🯷,7,SEGMENTED DIGIT SEVEN,GIT SEVEN
104D2,0037,𐓒,7,OSAGE CAPITAL LETTER ZA,GIT SEVEN
118C6,0037,𑣆,7,WARANG CITI SMALL LETTER II,GIT SEVEN
2466,2786,⑦,➆,CIRCLED DIGIT SEVEN,NGBAT CIRCLED SANS-SERIF DIGIT SEVEN
1F108,0037 002C,🄈,7,,DIGIT SEVEN COMMA,GIT SEVEN, COMMA
248E,0037 002E,⒎,7.,DIGIT SEVEN FULL STOP,GIT SEVEN, FULL STOP
33E6,0037 65E5,㏦,7日,IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY SEVEN,GIT SEVEN, CJK UNIFIED IDEOGRAPH-65E5
32C6,0037 6708,㋆,7月,IDEOGRAPHIC TELEGRAPH SYMBOL FOR JULY,GIT SEVEN, CJK UNIFIED IDEOGRAPH-6708
335F,0037 70B9,㍟,7点,IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR SEVEN,GIT SEVEN, CJK UNIFIED IDEOGRAPH-70B9
0B03,0038,ଃ,8,ORIYA SIGN VISARGA,GIT EIGHT
09EA,0038,৪,8,BENGALI DIGIT FOUR,GIT EIGHT
0A6A,0038,੪,8,GURMUKHI DIGIT FOUR,GIT EIGHT
1E8CB,0038,‎𞣋‎,8,MENDE KIKAKUI DIGIT FIVE,GIT EIGHT
1D7D6,0038,𝟖,8,MATHEMATICAL BOLD DIGIT EIGHT,GIT EIGHT
1D7E0,0038,𝟠,8,MATHEMATICAL DOUBLE-STRUCK DIGIT EIGHT,GIT EIGHT
1D7EA,0038,𝟪,8,MATHEMATICAL SANS-SERIF DIGIT EIGHT,GIT EIGHT
1D7F4,0038,𝟴,8,MATHEMATICAL SANS-SERIF BOLD DIGIT EIGHT,GIT EIGHT
1D7FE,0038,𝟾,8,MATHEMATICAL MONOSPACE DIGIT EIGHT,GIT EIGHT
1FBF8,0038,🯸,8,SEGMENTED DIGIT EIGHT,GIT EIGHT
0223,0038,ȣ,8,LATIN SMALL LETTER OU,GIT EIGHT
0222,0038,Ȣ,8,LATIN CAPITAL LETTER OU,GIT EIGHT
1031A,0038,𐌚,8,OLD ITALIC LETTER EF,GIT EIGHT
0AEE,096E,૮,८,GUJARATI DIGIT EIGHT,VANAGARI DIGIT EIGHT
2467,2787,⑧,➇,CIRCLED DIGIT EIGHT,NGBAT CIRCLED SANS-SERIF DIGIT EIGHT
1F109,0038 002C,🄉,8,,DIGIT EIGHT COMMA,GIT EIGHT, COMMA
248F,0038 002E,⒏,8.,DIGIT EIGHT FULL STOP,GIT EIGHT, FULL STOP
33E7,0038 65E5,㏧,8日,IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY EIGHT,GIT EIGHT, CJK UNIFIED IDEOGRAPH-65E5
32C7,0038 6708,㋇,8月,IDEOGRAPHIC TELEGRAPH SYMBOL FOR AUGUST,GIT EIGHT, CJK UNIFIED IDEOGRAPH-6708
3360,0038 70B9,㍠,8点,IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR EIGHT,GIT EIGHT, CJK UNIFIED IDEOGRAPH-70B9
0A67,0039,੧,9,GURMUKHI DIGIT ONE,GIT NINE
0B68,0039,୨,9,ORIYA DIGIT TWO,GIT NINE
09ED,0039,৭,9,BENGALI DIGIT SEVEN,GIT NINE
0D6D,0039,൭,9,MALAYALAM DIGIT SEVEN,GIT NINE
1D7D7,0039,𝟗,9,MATHEMATICAL BOLD DIGIT NINE,GIT NINE
1D7E1,0039,𝟡,9,MATHEMATICAL DOUBLE-STRUCK DIGIT NINE,GIT NINE
1D7EB,0039,𝟫,9,MATHEMATICAL SANS-SERIF DIGIT NINE,GIT NINE
1D7F5,0039,𝟵,9,MATHEMATICAL SANS-SERIF BOLD DIGIT NINE,GIT NINE
1D7FF,0039,𝟿,9,MATHEMATICAL MONOSPACE DIGIT NINE,GIT NINE
1FBF9,0039,🯹,9,SEGMENTED DIGIT NINE,GIT NINE
A76E,0039,Ꝯ,9,LATIN CAPITAL LETTER CON,GIT NINE
2CCA,0039,Ⳋ,9,COPTIC CAPITAL LETTER DIALECT-P HORI,GIT NINE
118CC,0039,𑣌,9,WARANG CITI SMALL LETTER KO,GIT NINE
118AC,0039,𑢬,9,WARANG CITI CAPITAL LETTER KO,GIT NINE
118D6,0039,𑣖,9,WARANG CITI SMALL LETTER AM,GIT NINE
0967,0669,१,‎٩‎,DEVANAGARI DIGIT ONE,ABIC-INDIC DIGIT NINE
118E4,0669,𑣤,‎٩‎,WARANG CITI DIGIT FOUR,ABIC-INDIC DIGIT NINE
06F9,0669,۹,‎٩‎,EXTENDED ARABIC-INDIC DIGIT NINE,ABIC-INDIC DIGIT NINE
0CEF,0C6F,೯,౯,KANNADA DIGIT NINE,LUGU DIGIT NINE
2468,2788,⑨,➈,CIRCLED DIGIT NINE,NGBAT CIRCLED SANS-SERIF DIGIT NINE
1F10A,0039 002C,🄊,9,,DIGIT NINE COMMA,GIT NINE, COMMA
2490,0039 002E,⒐,9.,DIGIT NINE FULL STOP,GIT NINE, FULL STOP
33E8,0039 65E5,㏨,9日,IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY NINE,GIT NINE, CJK UNIFIED IDEOGRAPH-65E5
32C8,0039 6708,㋈,9月,IDEOGRAPHIC TELEGRAPH SYMBOL FOR SEPTEMBER,GIT NINE, CJK UNIFIED IDEOGRAPH-6708
3361,0039 70B9,㍡,9点,IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR NINE,GIT NINE, CJK UNIFIED IDEOGRAPH-70B9
237A,0061,⍺,a,APL FUNCTIONAL SYMBOL ALPHA,TIN SMALL LETTER A
FF41,0061,ａ,a,FULLWIDTH LATIN SMALL LETTER A,TIN SMALL LETTER A
1D41A,0061,𝐚,a,MATHEMATICAL BOLD SMALL A,TIN SMALL LETTER A
1D44E,0061,𝑎,a,MATHEMATICAL ITALIC SMALL A,TIN SMALL LETTER A
1D482,0061,𝒂,a,MATHEMATICAL BOLD ITALIC SMALL A,TIN SMALL LETTER A
1D4B6,0061,𝒶,a,MATHEMATICAL SCRIPT SMALL A,TIN SMALL LETTER A
1D4EA,0061,𝓪,a,MATHEMATICAL BOLD SCRIPT SMALL A,TIN SMALL LETTER A
1D51E,0061,𝔞,a,MATHEMATICAL FRAKTUR SMALL A,TIN SMALL LETTER A
1D552,0061,𝕒,a,MATHEMATICAL DOUBLE-STRUCK SMALL A,TIN SMALL LETTER A
1D586,0061,𝖆,a,MATHEMATICAL BOLD FRAKTUR SMALL A,TIN SMALL LETTER A
1D5BA,0061,𝖺,a,MATHEMATICAL SANS-SERIF SMALL A,TIN SMALL LETTER A
1D5EE,0061,𝗮,a,MATHEMATICAL SANS-SERIF BOLD SMALL A,TIN SMALL LETTER A
1D622,0061,𝘢,a,MATHEMATICAL SANS-SERIF ITALIC SMALL A,TIN SMALL LETTER A
1D656,0061,𝙖,a,MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL A,TIN SMALL LETTER A
1D68A,0061,𝚊,a,MATHEMATICAL MONOSPACE SMALL A,TIN SMALL LETTER A
0251,0061,ɑ,a,LATIN SMALL LETTER ALPHA,TIN SMALL LETTER A
03B1,0061,α,a,GREEK SMALL LETTER ALPHA,TIN SMALL LETTER A
1D6C2,0061,𝛂,a,MATHEMATICAL BOLD SMALL ALPHA,TIN SMALL LETTER A
1D6FC,0061,𝛼,a,MATHEMATICAL ITALIC SMALL ALPHA,TIN SMALL LETTER A
1D736,0061,𝜶,a,MATHEMATICAL BOLD ITALIC SMALL ALPHA,TIN SMALL LETTER A
1D770,0061,𝝰,a,MATHEMATICAL SANS-SERIF BOLD SMALL ALPHA,TIN SMALL LETTER A
1D7AA,0061,𝞪,a,MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL ALPHA,TIN SMALL LETTER A
0430,0061,а,a,CYRILLIC SMALL LETTER A,TIN SMALL LETTER A
2DF6,0363,ⷶ,ͣ,COMBINING CYRILLIC LETTER A,MBINING LATIN SMALL LETTER A
FF21,0041,Ａ,A,FULLWIDTH LATIN CAPITAL LETTER A,TIN CAPITAL LETTER A
1D400,0041,𝐀,A,MATHEMATICAL BOLD CAPITAL A,TIN CAPITAL LETTER A
1D434,0041,𝐴,A,MATHEMATICAL ITALIC CAPITAL A,TIN CAPITAL LETTER A
1D468,0041,𝑨,A,MATHEMATICAL BOLD ITALIC CAPITAL A,TIN CAPITAL LETTER A
1D49C,0041,𝒜,A,MATHEMATICAL SCRIPT CAPITAL A,TIN CAPITAL LETTER A
1D4D0,0041,𝓐,A,MATHEMATICAL BOLD SCRIPT CAPITAL A,TIN CAPITAL LETTER A
1D504,0041,𝔄,A,MATHEMATICAL FRAKTUR CAPITAL A,TIN CAPITAL LETTER A
1D538,0041,𝔸,A,MATHEMATICAL DOUBLE-STRUCK CAPITAL A,TIN CAPITAL LETTER A
1D56C,0041,𝕬,A,MATHEMATICAL BOLD FRAKTUR CAPITAL A,TIN CAPITAL LETTER A
1D5A0,0041,𝖠,A,MATHEMATICAL SANS-SERIF CAPITAL A,TIN CAPITAL LETTER A
1D5D4,0041,𝗔,A,MATHEMATICAL SANS-SERIF BOLD CAPITAL A,TIN CAPITAL LETTER A
1D608,0041,𝘈,A,MATHEMATICAL SANS-SERIF ITALIC CAPITAL A,TIN CAPITAL LETTER A
1D63C,0041,𝘼,A,MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL A,TIN CAPITAL LETTER A
1D670,0041,𝙰,A,MATHEMATICAL MONOSPACE CAPITAL A,TIN CAPITAL LETTER A
0391,0041,Α,A,GREEK CAPITAL LETTER ALPHA,TIN CAPITAL LETTER A
1D6A8,0041,𝚨,A,MATHEMATICAL BOLD CAPITAL ALPHA,TIN CAPITAL LETTER A
1D6E2,0041,𝛢,A,MATHEMATICAL ITALIC CAPITAL ALPHA,TIN CAPITAL LETTER A
1D71C,0041,𝜜,A,MATHEMATICAL BOLD ITALIC CAPITAL ALPHA,TIN CAPITAL LETTER A
1D756,0041,𝝖,A,MATHEMATICAL SANS-SERIF BOLD CAPITAL ALPHA,TIN CAPITAL LETTER A
1D790,0041,𝞐,A,MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL ALPHA,TIN CAPITAL LETTER A
0410,0041,А,A,CYRILLIC CAPITAL LETTER A,TIN CAPITAL LETTER A
13AA,0041,Ꭺ,A,CHEROKEE LETTER GO,TIN CAPITAL LETTER A
15C5,0041,ᗅ,A,CANADIAN SYLLABICS CARRIER GHO,TIN CAPITAL LETTER A
A4EE,0041,ꓮ,A,LISU LETTER A,TIN CAPITAL LETTER A
16F40,0041,𖽀,A,MIAO LETTER ZZYA,TIN CAPITAL LETTER A
102A0,0041,𐊠,A,CARIAN LETTER A,TIN CAPITAL LETTER A
2376,0061 0332,⍶,a̲,APL FUNCTIONAL SYMBOL ALPHA UNDERBAR,TIN SMALL LETTER A, COMBINING LOW LINE
01CE,0103,ǎ,ă,LATIN SMALL LETTER A WITH CARON,TIN SMALL LETTER A WITH BREVE
01CD,0102,Ǎ,Ă,LATIN CAPITAL LETTER A WITH CARON,TIN CAPITAL LETTER A WITH BREVE
0227,00E5,ȧ,å,LATIN SMALL LETTER A WITH DOT ABOVE,TIN SMALL LETTER A WITH RING ABOVE
0226,00C5,Ȧ,Å,LATIN CAPITAL LETTER A WITH DOT ABOVE,TIN CAPITAL LETTER A WITH RING ABOVE
1E9A,1EA3,ẚ,ả,LATIN SMALL LETTER A WITH RIGHT HALF RING,TIN SMALL LETTER A WITH HOOK ABOVE
2100,0061 002F 0063,℀,a/c,ACCOUNT OF,TIN SMALL LETTER A, SOLIDUS, LATIN SMALL LETTER C
2101,0061 002F 0073,℁,a/s,ADDRESSED TO THE SUBJECT,TIN SMALL LETTER A, SOLIDUS, LATIN SMALL LETTER S
A733,0061 0061,ꜳ,aa,LATIN SMALL LETTER AA,TIN SMALL LETTER A, LATIN SMALL LETTER A
A732,0041 0041,Ꜳ,AA,LATIN CAPITAL LETTER AA,TIN CAPITAL LETTER A, LATIN CAPITAL LETTER A
00E6,0061 0065,æ,ae,LATIN SMALL LETTER AE,TIN SMALL LETTER A, LATIN SMALL LETTER E
04D5,0061 0065,ӕ,ae,CYRILLIC SMALL LIGATURE A IE,TIN SMALL LETTER A, LATIN SMALL LETTER E
00C6,0041 0045,Æ,AE,LATIN CAPITAL LETTER AE,TIN CAPITAL LETTER A, LATIN CAPITAL LETTER E
04D4,0041 0045,Ӕ,AE,CYRILLIC CAPITAL LIGATURE A IE,TIN CAPITAL LETTER A, LATIN CAPITAL LETTER E
A735,0061 006F,ꜵ,ao,LATIN SMALL LETTER AO,TIN SMALL LETTER A, LATIN SMALL LETTER O
A734,0041 004F,Ꜵ,AO,LATIN CAPITAL LETTER AO,TIN CAPITAL LETTER A, LATIN CAPITAL LETTER O
1F707,0041 0052,🜇,AR,ALCHEMICAL SYMBOL FOR AQUA REGIA-2,TIN CAPITAL LETTER A, LATIN CAPITAL LETTER R
A737,0061 0075,ꜷ,au,LATIN SMALL LETTER AU,TIN SMALL LETTER A, LATIN SMALL LETTER U
A736,0041 0055,Ꜷ,AU,LATIN CAPITAL LETTER AU,TIN CAPITAL LETTER A, LATIN CAPITAL LETTER U
A739,0061 0076,ꜹ,av,LATIN SMALL LETTER AV,TIN SMALL LETTER A, LATIN SMALL LETTER V
A73B,0061 0076,ꜻ,av,LATIN SMALL LETTER AV WITH HORIZONTAL BAR,TIN SMALL LETTER A, LATIN SMALL LETTER V
A738,0041 0056,Ꜹ,AV,LATIN CAPITAL LETTER AV,TIN CAPITAL LETTER A, LATIN CAPITAL LETTER V
A73A,0041 0056,Ꜻ,AV,LATIN CAPITAL LETTER AV WITH HORIZONTAL BAR,TIN CAPITAL LETTER A, LATIN CAPITAL LETTER V
A73D,0061 0079,ꜽ,ay,LATIN SMALL LETTER AY,TIN SMALL LETTER A, LATIN SMALL LETTER Y
A73C,0041 0059,Ꜽ,AY,LATIN CAPITAL LETTER AY,TIN CAPITAL LETTER A, LATIN CAPITAL LETTER Y
AB7A,1D00,ꭺ,ᴀ,CHEROKEE SMALL LETTER GO,TIN LETTER SMALL CAPITAL A
2200,2C6F,∀,Ɐ,FOR ALL,TIN CAPITAL LETTER TURNED A
1D217,2C6F,𝈗,Ɐ,GREEK VOCAL NOTATION SYMBOL-24,TIN CAPITAL LETTER TURNED A
15C4,2C6F,ᗄ,Ɐ,CANADIAN SYLLABICS CARRIER GHU,TIN CAPITAL LETTER TURNED A
A4EF,2C6F,ꓯ,Ɐ,LISU LETTER AE,TIN CAPITAL LETTER TURNED A
1041F,2C70,𐐟,Ɒ,DESERET CAPITAL LETTER ESH,TIN CAPITAL LETTER TURNED ALPHA
1D41B,0062,𝐛,b,MATHEMATICAL BOLD SMALL B,TIN SMALL LETTER B
1D44F,0062,𝑏,b,MATHEMATICAL ITALIC SMALL B,TIN SMALL LETTER B
1D483,0062,𝒃,b,MATHEMATICAL BOLD ITALIC SMALL B,TIN SMALL LETTER B
1D4B7,0062,𝒷,b,MATHEMATICAL SCRIPT SMALL B,TIN SMALL LETTER B
1D4EB,0062,𝓫,b,MATHEMATICAL BOLD SCRIPT SMALL B,TIN SMALL LETTER B
1D51F,0062,𝔟,b,MATHEMATICAL FRAKTUR SMALL B,TIN SMALL LETTER B
1D553,0062,𝕓,b,MATHEMATICAL DOUBLE-STRUCK SMALL B,TIN SMALL LETTER B
1D587,0062,𝖇,b,MATHEMATICAL BOLD FRAKTUR SMALL B,TIN SMALL LETTER B
1D5BB,0062,𝖻,b,MATHEMATICAL SANS-SERIF SMALL B,TIN SMALL LETTER B
1D5EF,0062,𝗯,b,MATHEMATICAL SANS-SERIF BOLD SMALL B,TIN SMALL LETTER B
1D623,0062,𝘣,b,MATHEMATICAL SANS-SERIF ITALIC SMALL B,TIN SMALL LETTER B
1D657,0062,𝙗,b,MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL B,TIN SMALL LETTER B
1D68B,0062,𝚋,b,MATHEMATICAL MONOSPACE SMALL B,TIN SMALL LETTER B
0184,0062,Ƅ,b,LATIN CAPITAL LETTER TONE SIX,TIN SMALL LETTER B
042C,0062,Ь,b,CYRILLIC CAPITAL LETTER SOFT SIGN,TIN SMALL LETTER B
13CF,0062,Ꮟ,b,CHEROKEE LETTER SI,TIN SMALL LETTER B
1472,0062,ᑲ,b,CANADIAN SYLLABICS KA,TIN SMALL LETTER B
15AF,0062,ᖯ,b,CANADIAN SYLLABICS AIVILIK B,TIN SMALL LETTER B
FF22,0042,Ｂ,B,FULLWIDTH LATIN CAPITAL LETTER B,TIN CAPITAL LETTER B
212C,0042,ℬ,B,SCRIPT CAPITAL B,TIN CAPITAL LETTER B
1D401,0042,𝐁,B,MATHEMATICAL BOLD CAPITAL B,TIN CAPITAL LETTER B
1D435,0042,𝐵,B,MATHEMATICAL ITALIC CAPITAL B,TIN CAPITAL LETTER B
1D469,0042,𝑩,B,MATHEMATICAL BOLD ITALIC CAPITAL B,TIN CAPITAL LETTER B
1D4D1,0042,𝓑,B,MATHEMATICAL BOLD SCRIPT CAPITAL B,TIN CAPITAL LETTER B
1D505,0042,𝔅,B,MATHEMATICAL FRAKTUR CAPITAL B,TIN CAPITAL LETTER B
1D539,0042,𝔹,B,MATHEMATICAL DOUBLE-STRUCK CAPITAL B,TIN CAPITAL LETTER B
1D56D,0042,𝕭,B,MATHEMATICAL BOLD FRAKTUR CAPITAL B,TIN CAPITAL LETTER B
1D5A1,0042,𝖡,B,MATHEMATICAL SANS-SERIF CAPITAL B,TIN CAPITAL LETTER B
